donor_id,first_name,last_name,email,city,total_donations,avg_donation_amount,donation_frequency,days_since_last_donation,donation_consistency,largest_donation,smallest_donation,campaigns_participated,volunteer_hours,referrals,will_donate_again
DON897497,Lisa,Rodriguez,lisa_rodriguez28@icloud.com,Denver,2,48.38,1.0,729,0.16,124.49,22.4,9,59,2,0
DON495654,Elizabeth,Rivera,elizabeth.rivera55@icloud.com,Charlotte,10,128.9,10.0,145,0.7,256.44,72.72,4,4,14,1
DON887838,Karen,Smith,karensmith95@hotmail.com,Fort Worth,15,169.36,15.0,54,0.75,274.64,105.75,6,45,6,1
DON275963,Kimberly,Ramirez,kimberly.ramirez72@email.com,San Diego,1,105.28,1.0,141,0.1,250.16,73.16,2,87,4,0
DON693068,Helen,Moore,helen_moore63@email.com,San Diego,5,326.1,5.0,131,0.55,567.95,147.37,3,12,4,1
DON615893,Daniel,Hall,daniel.hall95@outlook.com,Indianapolis,7,181.81,7.0,93,0.66,289.86,75.7,5,16,4,1
DON919597,Jennifer,Torres,jennifer.torres60@gmail.com,Philadelphia,1,23.79,0.5,726,0.19,55.94,12.92,10,7,14,0
DON568103,Kevin,Garcia,kevin.garcia68@email.com,Fort Worth,8,330.06,8.0,37,0.56,913.32,123.74,8,17,3,1
DON152027,Joshua,Anderson,joshuaanderson83@email.com,Charlotte,37,562.78,37.0,56,0.95,1157.04,257.87,2,84,12,1
DON711148,Edward,Wright,edward.wright71@hotmail.com,Houston,3,32.58,3.0,318,0.01,96.85,20.74,7,22,0,0
DON392843,Steven,Wilson,stevenwilson77@hotmail.com,New York,3,10.75,2.23,491,0.24,17.63,4.49,8,32,14,0
DON610219,Patricia,Jones,patricia_jones25@icloud.com,San Antonio,2,43.94,2.0,319,0.2,115.56,30.08,9,100,8,0
DON790465,Barbara,Lopez,barbaralopez55@yahoo.com,San Francisco,1,47.73,1.0,180,0.27,125.65,18.14,1,42,1,0
DON647796,Joshua,Thompson,joshua_thompson49@yahoo.com,Chicago,1,31.4,1.0,309,0.21,83.28,16.88,3,84,6,0
DON482769,Carol,Ramirez,carolramirez44@yahoo.com,Dallas,3,164.71,3.0,176,0.47,358.35,113.23,3,72,6,1
DON876171,Donald,Thomas,donald.thomas79@yahoo.com,San Francisco,5,74.48,5.0,170,0.58,147.02,35.01,1,25,6,1
DON990762,William,Thompson,williamthompson4@icloud.com,New York,41,293.81,41.0,14,0.77,477.64,128.52,4,73,0,1
DON865345,Brian,Johnson,brianjohnson82@icloud.com,San Diego,20,165.32,20.0,28,0.9,382.9,52.3,6,47,3,1
DON782944,Jane,Hall,janehall57@yahoo.com,Detroit,4,47.86,4.0,245,0.38,102.19,16.56,3,77,4,0
DON285165,Daniel,White,daniel_white24@yahoo.com,San Antonio,3,25.69,3.0,344,0.13,73.58,9.02,1,87,13,0
DON263051,Donald,Adams,donaldadams83@icloud.com,Las Vegas,8,166.23,8.0,125,0.55,271.63,110.08,3,21,1,1
DON397913,David,Adams,david_adams9@gmail.com,Philadelphia,4,72.36,4.0,344,0.01,166.29,34.72,1,4,6,0
DON764018,Michelle,Nguyen,michelle.nguyen10@outlook.com,Memphis,1,114.29,1.0,16,0.08,302.2,60.19,6,97,2,0
DON875024,Timothy,Garcia,timothy.garcia38@hotmail.com,San Jose,3,34.29,2.41,455,0.07,95.98,11.49,5,26,7,0
DON904102,Carol,Young,carol_young69@hotmail.com,San Jose,7,228.86,7.0,30,0.76,563.92,71.45,7,72,13,1
DON878411,Sandra,Scott,sandra_scott24@gmail.com,Denver,2,90.05,2.0,232,0.39,140.69,48.56,6,26,7,0
DON234990,Mary,Gonzalez,mary.gonzalez27@icloud.com,San Jose,18,263.83,18.0,41,0.93,791.41,159.45,7,86,0,1
DON410678,John,Robinson,john_robinson30@hotmail.com,San Diego,3,41.91,3.0,363,0.11,110.68,21.96,1,67,14,0
DON287352,Sarah,Hill,sarah_hill4@icloud.com,San Antonio,2,40.79,2.0,276,0.23,88.12,25.33,5,33,10,0
DON750348,Thomas,Nelson,thomas_nelson77@yahoo.com,San Francisco,3,30.75,3.0,51,0.31,54.99,16.11,6,89,4,1
DON550148,Ronald,Rivera,ronaldrivera23@yahoo.com,Austin,1,43.45,0.88,413,0.29,107.72,17.92,10,41,8,0
DON354272,Dorothy,White,dorothywhite76@hotmail.com,Boston,20,449.22,20.0,25,0.98,1025.48,313.73,0,5,3,1
DON738361,Barbara,Mitchell,barbaramitchell81@gmail.com,Chicago,4,40.78,4.0,283,0.27,79.17,24.21,4,73,8,0
DON930315,Ashley,Hernandez,ashley_hernandez33@email.com,Los Angeles,23,575.69,23.0,16,0.94,1599.38,320.95,0,59,3,1
DON571305,Elizabeth,Harris,elizabeth_harris17@hotmail.com,Dallas,32,256.92,32.0,57,0.96,621.8,142.38,4,2,9,1
DON448643,David,Perez,david_perez96@email.com,Chicago,2,192.38,2.0,202,0.58,345.94,76.01,5,6,7,1
DON755072,Elizabeth,Williams,elizabeth_williams68@icloud.com,San Diego,32,811.12,32.0,14,0.99,2374.69,366.1,6,76,7,1
DON963170,Daniel,Scott,daniel_scott39@outlook.com,Houston,2,6.91,2.0,256,0.03,18.72,3.28,3,80,12,0
DON261522,Joshua,Ramirez,joshuaramirez89@gmail.com,Houston,4,41.08,4.0,357,0.34,68.23,22.1,1,88,8,0
DON870560,Kimberly,Flores,kimberly_flores82@email.com,Seattle,4,44.01,4.0,283,0.11,86.71,18.83,4,35,0,0
DON110593,Helen,Jones,helen_jones87@hotmail.com,Phoenix,10,54.98,10.0,36,0.73,106.24,38.43,4,43,7,1
DON436680,Margaret,Sanchez,margaret_sanchez17@outlook.com,Seattle,2,36.1,2.0,260,0.02,99.83,14.88,5,62,0,0
DON397283,Edward,Clark,edward.clark71@outlook.com,Seattle,30,294.06,30.0,22,0.76,510.69,91.54,0,71,14,1
DON654318,Lisa,Robinson,lisarobinson4@yahoo.com,Nashville,22,289.23,22.0,55,0.7,532.11,111.28,0,4,3,1
DON170541,Emily,Scott,emily_scott61@hotmail.com,Denver,4,65.95,3.58,408,0.12,165.4,33.06,3,45,5,0
DON728408,Sarah,Flores,sarahflores28@gmail.com,San Antonio,2,103.48,2.0,154,0.42,200.09,40.83,1,47,8,1
DON244182,Donna,Clark,donnaclark67@outlook.com,Nashville,1,11.96,1.0,215,0.03,19.25,7.75,3,79,7,0
DON520142,Jason,Green,jasongreen54@hotmail.com,Dallas,12,171.86,12.0,154,0.79,504.19,111.49,5,26,13,1
DON849280,Mary,White,mary.white14@icloud.com,San Antonio,1,252.77,1.0,296,0.12,704.38,87.66,0,31,4,0
DON613317,Paul,Hernandez,paul.hernandez57@outlook.com,Denver,3,120.92,3.0,137,0.03,344.64,82.33,8,80,4,0
DON161319,Brian,Nelson,brian.nelson38@email.com,Nashville,7,153.04,7.0,58,0.69,246.54,79.14,3,96,15,1
DON896446,Kimberly,Thompson,kimberly_thompson48@email.com,San Francisco,3,63.65,3.0,295,0.57,120.45,22.32,0,85,8,0
DON380171,Helen,Sanchez,helen.sanchez56@email.com,Jacksonville,4,35.69,4.0,194,0.35,102.96,15.64,5,22,13,0
DON734069,Sandra,Mitchell,sandra_mitchell43@gmail.com,Columbus,13,268.3,13.0,67,0.54,747.7,125.52,10,64,6,1
DON243220,Thomas,Thomas,thomas_thomas6@outlook.com,Fort Worth,4,54.32,4.0,347,0.32,151.02,29.11,0,19,15,0
DON774600,Jennifer,Campbell,jennifer_campbell89@icloud.com,Philadelphia,1,23.91,0.99,370,0.03,58.77,16.0,6,29,14,0
DON867490,Robert,Nguyen,robert_nguyen77@email.com,Denver,7,239.91,7.0,76,0.66,446.36,126.87,3,82,10,1
DON445514,Emily,Anderson,emily_anderson34@gmail.com,Philadelphia,42,1053.67,42.0,13,0.97,3003.57,562.09,7,25,3,1
DON471019,Ronald,Martinez,ronald.martinez7@outlook.com,Columbus,7,272.16,7.0,101,0.75,556.79,92.75,3,71,3,1
DON636251,David,Jackson,davidjackson53@email.com,Nashville,32,624.8,32.0,27,0.79,1842.59,236.84,10,99,9,1
DON444019,Barbara,Adams,barbara_adams69@gmail.com,Columbus,20,645.41,20.0,32,0.93,1794.1,236.14,10,66,1,1
DON107196,Andrew,Hall,andrew.hall30@hotmail.com,San Antonio,19,957.63,19.0,8,0.95,2255.65,634.77,7,87,10,1
DON723506,Linda,Allen,linda_allen92@outlook.com,Detroit,41,557.64,41.0,16,0.73,1466.52,367.47,8,25,1,1
DON674679,Charles,Moore,charlesmoore47@outlook.com,Memphis,2,274.98,2.0,12,0.27,638.94,85.48,6,9,10,1
DON373677,Carol,Green,carol.green43@outlook.com,Phoenix,45,704.64,45.0,58,0.77,1542.82,415.92,8,84,13,1
DON561740,Barbara,Clark,barbaraclark47@yahoo.com,Portland,1,280.97,1.0,315,0.38,714.69,192.95,6,28,1,0
DON918554,Donna,Jones,donnajones33@yahoo.com,Seattle,2,67.58,2.0,293,0.48,155.36,47.25,9,57,6,1
DON421624,Robert,Young,robertyoung22@gmail.com,Los Angeles,4,26.79,4.0,260,0.08,78.2,14.81,10,100,10,0
DON782313,William,Johnson,william.johnson15@icloud.com,Denver,45,564.58,45.0,19,0.81,1091.95,394.51,8,84,4,1
DON186635,Carol,Young,carol.young98@gmail.com,Chicago,1,24.05,0.69,531,0.39,42.18,16.42,4,73,11,0
DON820633,Elizabeth,Garcia,elizabeth.garcia41@outlook.com,Austin,3,21.94,3.0,341,0.36,42.42,13.75,3,42,15,0
DON584888,David,Hernandez,david.hernandez37@gmail.com,Indianapolis,3,55.92,2.67,410,0.12,113.44,37.14,0,24,4,0
DON297660,Kimberly,Martin,kimberly_martin29@icloud.com,New York,25,451.42,25.0,8,0.85,1347.18,196.86,4,89,5,1
DON386789,Donna,Adams,donna.adams51@icloud.com,Dallas,5,87.31,4.52,404,0.24,172.96,30.77,6,42,12,0
DON619810,Anthony,Lewis,anthony_lewis42@gmail.com,Detroit,4,68.05,4.0,259,0.18,172.06,33.8,4,70,15,0
DON910900,Ashley,King,ashley.king43@icloud.com,New York,1,160.83,1.0,103,0.18,372.05,110.12,2,80,3,0
DON885027,Emma,Hall,emma.hall34@icloud.com,Philadelphia,4,46.25,2.25,648,0.32,86.1,32.15,5,32,15,0
DON448397,Mark,Green,mark_green90@icloud.com,Columbus,1,23.58,1.0,355,0.37,55.1,7.84,6,82,5,0
DON931705,Sarah,Smith,sarahsmith59@icloud.com,Boston,5,101.66,3.56,513,0.24,274.58,66.95,2,36,1,0
DON591967,Mary,Nguyen,marynguyen71@icloud.com,Seattle,5,20.9,4.01,455,0.31,39.79,11.16,9,10,13,0
DON257942,Matthew,Nelson,matthew.nelson8@email.com,New York,34,341.48,34.0,60,0.74,999.2,235.12,6,83,7,1
DON287591,Ashley,Harris,ashleyharris49@yahoo.com,Houston,14,202.96,14.0,135,0.71,396.94,132.14,6,85,10,1
DON771012,Patricia,Smith,patricia_smith58@hotmail.com,Columbus,8,282.08,8.0,123,0.65,823.7,111.43,6,92,8,1
DON109090,Karen,Wright,karenwright50@outlook.com,Memphis,13,162.9,13.0,158,0.68,346.83,105.83,4,93,10,1
DON283088,Andrew,Rodriguez,andrewrodriguez12@email.com,Indianapolis,35,860.45,35.0,8,0.81,2498.58,571.99,2,51,0,1
DON642271,Andrew,King,andrew_king19@hotmail.com,Jacksonville,2,22.73,1.57,466,0.3,56.97,10.81,8,58,12,0
DON715295,Ashley,Taylor,ashley_taylor48@icloud.com,Boston,2,45.21,2.0,260,0.35,71.54,25.04,1,45,15,0
DON852011,Emma,Scott,emma.scott51@gmail.com,Las Vegas,2,51.34,2.0,282,0.27,110.92,17.08,10,0,7,0
DON771258,Donald,Anderson,donaldanderson98@icloud.com,Columbus,3,11.42,2.37,463,0.26,27.51,5.64,0,16,7,0
DON775287,Thomas,Clark,thomas_clark21@hotmail.com,San Diego,3,66.45,3.0,337,0.28,146.44,22.07,7,70,0,0
DON706199,Andrew,Young,andrew_young49@yahoo.com,Denver,7,142.7,7.0,65,0.55,399.92,63.65,5,69,11,1
DON645564,Daniel,Baker,daniel_baker68@outlook.com,Los Angeles,2,211.68,2.0,304,0.31,327.93,90.3,2,97,9,1
DON486212,Sandra,Baker,sandrabaker88@yahoo.com,Columbus,4,23.8,3.22,454,0.04,38.24,10.72,6,34,4,0
DON683757,Edward,Wilson,edward.wilson95@icloud.com,Portland,39,171.83,39.0,18,0.94,420.8,65.19,10,98,14,1
DON740623,Donna,Adams,donnaadams26@yahoo.com,Las Vegas,39,712.03,39.0,32,0.73,1505.94,368.83,5,29,13,1
DON350476,Helen,Gonzalez,helengonzalez67@gmail.com,Charlotte,2,23.11,2.0,338,0.01,45.67,16.09,7,6,0,0
DON262398,Ronald,Lopez,ronald.lopez62@outlook.com,Las Vegas,33,915.7,33.0,31,0.95,2428.25,583.84,2,49,3,1
DON758008,Edward,Young,edward_young32@gmail.com,Portland,1,27.66,1.0,289,0.07,52.0,12.75,1,29,13,0
DON295232,Joshua,Lopez,joshualopez19@hotmail.com,San Diego,3,17.07,2.48,441,0.27,45.9,10.39,10,92,8,0
DON510395,Jane,Ramirez,jane_ramirez60@hotmail.com,Phoenix,4,97.05,2.82,517,0.32,251.31,62.83,6,62,13,0
DON561357,Brian,King,brian_king49@email.com,San Jose,39,575.67,39.0,56,0.96,1570.85,367.95,5,59,0,1
DON358043,Betty,Flores,bettyflores47@hotmail.com,Seattle,2,85.4,2.0,172,0.57,196.37,57.28,7,43,2,0
DON442763,William,Wilson,william_wilson56@outlook.com,Houston,4,61.48,4.0,276,0.26,144.75,30.8,6,29,0,0
DON961171,Timothy,Allen,timothy.allen61@email.com,Columbus,2,89.68,2.0,78,0.1,192.69,62.41,9,23,15,1
DON166654,Steven,Hall,steven.hall95@hotmail.com,Denver,3,79.78,2.31,475,0.32,175.02,34.23,7,59,10,0
DON670466,James,Lopez,james_lopez31@icloud.com,Fort Worth,1,203.39,1.0,58,0.5,502.72,121.93,4,42,1,1
DON923488,Jessica,Perez,jessica.perez39@email.com,Phoenix,18,276.02,18.0,28,0.97,785.08,106.42,6,11,10,1
DON196414,James,White,james_white81@email.com,Portland,1,25.35,0.79,463,0.22,61.97,12.17,8,66,7,0
DON314870,Barbara,Johnson,barbarajohnson89@outlook.com,Portland,3,63.61,3.0,22,0.34,147.22,29.39,0,31,7,1
DON805876,Matthew,Moore,matthew_moore86@outlook.com,San Francisco,1,59.82,0.75,485,0.35,148.2,25.68,7,32,3,0
DON168608,Daniel,Smith,danielsmith2@gmail.com,Chicago,5,61.78,5.0,186,0.21,129.02,34.42,5,1,4,0
DON311345,Donald,Hernandez,donald.hernandez60@hotmail.com,Indianapolis,9,174.12,9.0,67,0.58,263.55,97.45,4,54,8,1
DON479622,Brian,Mitchell,brianmitchell40@yahoo.com,Jacksonville,11,291.9,11.0,76,0.75,847.77,201.56,8,75,6,1
DON945008,Jason,Davis,jasondavis96@gmail.com,San Diego,15,309.11,15.0,164,0.62,475.7,142.63,9,40,13,1
DON463789,Sandra,Brown,sandrabrown25@hotmail.com,Jacksonville,8,60.46,8.0,80,0.78,180.29,18.4,10,73,13,1
DON386015,James,Thompson,james.thompson86@hotmail.com,Jacksonville,44,491.57,44.0,44,0.84,897.79,199.81,6,34,4,1
DON851532,Steven,Garcia,steven_garcia43@gmail.com,Las Vegas,1,59.4,1.0,144,0.12,143.9,25.08,10,77,14,0
DON443047,Thomas,Williams,thomas.williams64@hotmail.com,Houston,4,18.76,4.0,234,0.19,28.36,10.06,2,72,4,0
DON194214,Margaret,Jackson,margaret_jackson74@hotmail.com,Denver,7,278.8,7.0,79,0.66,719.07,129.58,7,24,8,1
DON812135,Sandra,Rivera,sandrarivera48@yahoo.com,Detroit,48,625.6,48.0,34,0.96,1605.29,233.3,8,3,4,1
DON695799,Ronald,Flores,ronald_flores9@yahoo.com,Fort Worth,33,542.04,33.0,2,0.86,997.59,256.93,4,54,11,1
DON831852,Thomas,Taylor,thomastaylor91@yahoo.com,San Jose,5,30.08,4.16,439,0.28,72.34,16.93,0,58,14,0
DON398834,Lisa,Jackson,lisajackson43@icloud.com,San Antonio,10,407.05,10.0,113,0.74,937.06,283.11,6,36,2,1
DON441529,Anthony,Johnson,anthony.johnson12@hotmail.com,Boston,5,131.41,5.0,303,0.48,334.52,53.98,10,27,15,1
DON187095,Steven,Lewis,steven.lewis77@hotmail.com,Charlotte,37,1302.9,37.0,3,0.91,2460.26,573.81,2,33,9,1
DON851881,Donna,Wright,donna_wright96@icloud.com,San Jose,5,214.18,5.0,125,0.78,572.72,135.36,10,24,2,1
DON184336,Emma,Allen,emma.allen68@gmail.com,New York,2,39.32,1.9,384,0.06,94.35,21.29,1,9,6,0
DON111238,Sarah,Adams,sarahadams3@outlook.com,New York,23,469.76,23.0,31,0.87,926.72,185.32,9,4,1,1
DON260175,Edward,Thomas,edward.thomas94@gmail.com,Fort Worth,2,12.6,2.0,328,0.21,34.49,7.27,10,100,2,0
DON333741,James,White,jameswhite41@hotmail.com,San Diego,2,97.21,2.0,309,0.35,181.16,64.52,4,32,5,0
DON454099,Robert,Nelson,robert_nelson62@outlook.com,Memphis,40,420.24,40.0,11,0.95,986.73,232.1,1,3,6,1
DON809888,Jane,Miller,jane_miller8@yahoo.com,Charlotte,4,40.69,4.0,211,0.12,106.88,25.67,0,10,14,0
DON791319,Betty,Hill,bettyhill5@email.com,Los Angeles,1,83.36,1.0,6,0.48,144.46,33.43,1,22,1,1
DON501955,Donna,Garcia,donna.garcia49@hotmail.com,Portland,13,86.82,13.0,178,0.58,256.71,53.27,0,57,9,1
DON607732,Kenneth,Robinson,kenneth_robinson61@outlook.com,Boston,9,247.16,9.0,155,0.57,391.02,86.63,4,1,4,1
DON974310,James,Ramirez,james.ramirez75@hotmail.com,San Francisco,3,49.42,3.0,276,0.21,119.12,27.7,9,47,4,0
DON651142,Susan,Wright,susanwright46@yahoo.com,Denver,3,29.49,3.0,344,0.01,55.74,15.81,6,52,5,0
DON586466,Mark,Taylor,mark.taylor46@yahoo.com,San Antonio,5,123.83,5.0,220,0.47,343.77,59.79,1,76,12,1
DON350433,James,Lee,james_lee38@icloud.com,Indianapolis,4,40.62,3.2,456,0.26,69.28,22.55,3,56,9,0
DON528687,Lisa,Miller,lisamiller89@email.com,San Diego,1,25.59,1.0,319,0.19,76.68,14.02,5,0,5,0
DON671966,Donna,Jones,donnajones64@outlook.com,San Francisco,2,68.56,1.05,694,0.16,118.66,36.67,6,93,14,0
DON734054,Kimberly,Jones,kimberly_jones81@gmail.com,Phoenix,5,149.66,5.0,108,0.41,445.6,45.37,6,12,0,1
DON337474,William,Young,william.young45@icloud.com,Houston,11,149.31,11.0,132,0.51,335.63,84.3,1,27,10,1
DON769886,Kevin,Torres,kevin_torres92@hotmail.com,Phoenix,9,99.7,9.0,72,0.54,236.29,58.64,10,15,0,1
DON778651,Kimberly,Martinez,kimberly.martinez12@gmail.com,Fort Worth,13,272.21,13.0,156,0.52,503.97,114.36,1,10,5,1
DON191102,Edward,Gonzalez,edwardgonzalez90@hotmail.com,Jacksonville,8,167.83,8.0,113,0.59,326.74,112.3,10,22,2,1
DON546875,Michael,Rivera,michaelrivera49@gmail.com,Boston,2,63.83,2.0,262,0.12,120.09,26.26,0,5,3,0
DON174201,Jessica,Wright,jessica.wright56@hotmail.com,New York,1,145.14,1.0,70,0.13,378.87,51.45,9,68,4,0
DON773471,Edward,Allen,edwardallen67@gmail.com,Dallas,5,41.29,5.0,279,0.52,106.51,18.17,5,88,9,0
DON806952,Matthew,Sanchez,matthew_sanchez77@email.com,Fort Worth,4,14.17,4.0,296,0.3,38.59,6.75,2,89,0,0
DON140044,Emma,Smith,emma.smith25@email.com,Austin,20,145.84,20.0,41,0.96,351.76,49.72,8,96,7,1
DON496349,Anthony,Moore,anthony_moore8@email.com,Los Angeles,4,15.34,4.0,279,0.05,42.46,7.74,10,26,4,0
DON507047,Matthew,Scott,matthewscott33@gmail.com,Portland,24,746.96,24.0,45,0.98,1653.88,371.12,0,26,11,1
DON184389,Robert,Torres,roberttorres81@outlook.com,Los Angeles,4,69.31,2.51,582,0.36,206.04,48.43,8,31,12,0
DON698155,Kevin,Ramirez,kevin_ramirez95@yahoo.com,Los Angeles,5,59.4,5.0,112,0.39,144.44,30.31,6,73,2,0
DON552554,Kimberly,Wright,kimberly.wright48@email.com,Memphis,3,14.76,3.0,234,0.12,43.9,6.91,8,44,5,0
DON176591,Jane,Baker,jane_baker26@yahoo.com,Jacksonville,2,74.09,1.19,611,0.19,173.3,31.64,3,39,9,0
DON122831,Jane,Flores,jane.flores26@outlook.com,Boston,2,21.01,2.0,304,0.25,39.0,9.94,3,79,0,0
DON292942,George,Taylor,george_taylor74@hotmail.com,Boston,4,129.58,2.36,619,0.31,333.2,59.11,1,69,5,0
DON953971,Elizabeth,Jackson,elizabeth.jackson27@outlook.com,Philadelphia,4,37.1,3.62,403,0.26,100.61,22.42,10,81,2,0
DON874143,Matthew,Miller,matthewmiller21@icloud.com,Portland,3,134.45,3.0,83,0.05,321.04,41.61,0,34,10,1
DON905426,Anthony,Hill,anthonyhill37@icloud.com,Houston,2,29.18,2.0,259,0.04,45.51,15.04,3,10,10,0
DON257562,Brian,Thompson,brian_thompson37@gmail.com,San Antonio,47,1025.93,47.0,10,0.8,2890.02,610.77,1,81,5,1
DON448447,Barbara,Harris,barbara.harris59@outlook.com,Detroit,16,230.73,16.0,49,0.8,494.59,93.13,10,16,0,1
DON326014,Charles,Hernandez,charles_hernandez10@yahoo.com,Fort Worth,4,89.26,2.31,631,0.28,201.37,58.17,4,55,5,0
DON654297,Daniel,Nelson,danielnelson17@yahoo.com,San Antonio,16,157.71,16.0,9,0.95,365.21,108.77,9,94,2,1
DON599922,Jason,Hernandez,jason_hernandez20@gmail.com,Charlotte,3,29.7,3.0,212,0.37,68.34,15.88,3,10,9,0
DON616710,Charles,Rodriguez,charlesrodriguez94@email.com,Charlotte,2,23.5,2.0,333,0.41,64.1,14.0,4,33,15,0
DON934069,Linda,Baker,lindabaker36@email.com,Las Vegas,3,15.39,3.0,30,0.37,45.65,10.5,8,34,8,1
DON552592,Matthew,Taylor,matthew.taylor80@yahoo.com,San Jose,5,47.26,4.22,432,0.37,90.83,25.4,4,75,13,0
DON256542,Elizabeth,Wilson,elizabethwilson30@icloud.com,New York,35,238.54,35.0,21,0.72,531.25,151.74,4,70,6,1
DON298802,Paul,Walker,paul_walker95@hotmail.com,Austin,2,46.99,1.49,489,0.34,91.17,29.35,1,39,8,0
DON456050,Jane,King,jane_king90@outlook.com,Detroit,2,180.29,2.0,139,0.42,365.48,89.65,0,43,5,1
DON261972,Jennifer,Lewis,jennifer.lewis8@gmail.com,Indianapolis,1,137.69,1.0,27,0.27,235.26,74.11,6,80,7,1
DON728033,Charles,Green,charlesgreen65@hotmail.com,San Diego,1,41.9,1.0,298,0.21,68.47,17.09,0,37,13,0
DON488392,Ashley,Wilson,ashley_wilson6@hotmail.com,New York,4,19.64,4.0,340,0.06,41.58,10.23,8,43,3,0
DON304362,Daniel,Anderson,daniel.anderson60@gmail.com,Los Angeles,4,125.09,4.0,247,0.46,309.61,39.31,8,30,6,1
DON820993,Joshua,Lopez,joshualopez85@hotmail.com,Chicago,2,16.36,2.0,203,0.14,40.51,9.1,10,43,12,0
DON310840,Patricia,Green,patricia.green6@gmail.com,Fort Worth,3,49.82,3.0,332,0.56,137.32,33.23,4,93,12,0
DON358178,Lisa,Rodriguez,lisa_rodriguez48@hotmail.com,Phoenix,14,135.26,14.0,125,0.76,326.9,71.15,7,88,5,1
DON460868,Nancy,Hall,nancyhall64@email.com,Charlotte,2,63.44,1.58,463,0.14,144.69,28.39,8,19,7,0
DON758614,Karen,Walker,karen.walker74@outlook.com,Los Angeles,12,407.75,12.0,95,0.68,993.25,145.65,7,32,7,1
DON753420,Elizabeth,Sanchez,elizabethsanchez24@gmail.com,Boston,15,128.88,15.0,107,0.51,211.17,86.51,8,28,5,1
DON161382,Paul,Smith,paulsmith48@icloud.com,Austin,5,176.0,5.0,114,0.58,469.27,119.95,2,55,12,1
DON548526,Donald,Scott,donald.scott39@email.com,Indianapolis,2,86.3,2.0,290,0.18,242.47,30.91,8,75,9,0
DON168587,Anthony,Williams,anthony_williams77@outlook.com,Detroit,1,109.1,1.0,179,0.18,226.65,64.41,2,32,0,1
DON580599,Paul,King,paul_king3@yahoo.com,Indianapolis,3,105.03,3.0,234,0.25,261.99,33.4,1,75,14,0
DON889810,Patricia,Harris,patricia_harris65@icloud.com,San Diego,2,25.98,2.0,252,0.16,59.15,8.73,2,87,1,0
DON311902,Jane,Brown,jane.brown27@email.com,Austin,7,144.87,7.0,95,0.57,235.96,82.76,4,88,0,1
DON848786,Emma,Lee,emma.lee96@yahoo.com,Philadelphia,6,117.98,6.0,31,0.51,329.39,50.89,0,49,7,1
DON967731,Timothy,Baker,timothy.baker30@email.com,Las Vegas,10,28.87,10.0,179,0.72,68.08,13.99,9,73,5,1
DON594458,Thomas,Lewis,thomaslewis58@gmail.com,Memphis,5,207.44,5.0,286,0.31,533.68,69.61,9,38,14,1
DON739196,Elizabeth,Robinson,elizabethrobinson97@yahoo.com,Dallas,9,131.91,9.0,138,0.73,373.64,65.24,7,79,3,1
DON723595,Thomas,Lewis,thomaslewis88@hotmail.com,San Antonio,2,120.53,2.0,222,0.43,290.66,81.75,4,88,12,0
DON971686,William,Wright,williamwright65@icloud.com,Boston,2,78.15,1.06,687,0.37,150.36,33.58,5,37,13,0
DON941679,Brian,Adams,brian_adams57@icloud.com,San Jose,15,77.19,15.0,44,0.8,142.13,35.37,8,91,6,1
DON516371,Mary,Hall,maryhall34@yahoo.com,Memphis,8,81.05,8.0,139,0.7,131.9,27.88,9,37,7,1
DON759776,Paul,Nelson,paul.nelson1@email.com,Denver,46,286.21,46.0,26,0.93,498.82,88.21,9,15,9,1
DON455357,Emily,Robinson,emily_robinson95@icloud.com,Phoenix,1,47.59,0.74,491,0.08,125.94,28.51,3,17,6,0
DON675738,Paul,Jackson,paul_jackson1@icloud.com,Denver,4,63.34,2.77,527,0.11,136.32,24.93,3,79,6,0
DON603940,Margaret,Campbell,margaret.campbell73@icloud.com,Philadelphia,39,473.79,39.0,29,0.93,964.06,261.75,4,4,4,1
DON178731,Kenneth,Torres,kennethtorres35@hotmail.com,San Antonio,2,163.64,2.0,314,0.37,489.52,99.48,1,27,6,0
DON482756,Robert,Scott,robert_scott3@yahoo.com,Chicago,5,55.73,4.27,427,0.21,100.33,33.01,1,18,12,0
DON352987,Michael,Miller,michaelmiller29@email.com,Detroit,34,343.9,34.0,37,0.94,943.65,239.13,3,27,7,1
DON512614,Mark,Garcia,mark.garcia51@email.com,Phoenix,1,48.76,1.0,52,0.4,73.21,22.3,5,98,0,1
DON255702,Emily,King,emily.king6@email.com,Denver,15,274.02,15.0,52,0.79,433.82,157.87,1,93,13,1
DON721773,Karen,Rodriguez,karen.rodriguez29@yahoo.com,Denver,12,102.69,12.0,91,0.62,188.83,42.27,9,67,4,1
DON473649,Joshua,Robinson,joshua.robinson57@outlook.com,Nashville,5,30.83,2.97,614,0.19,71.61,10.06,5,73,1,0
DON975154,Paul,Martin,paul_martin75@hotmail.com,Columbus,5,71.06,5.0,163,0.58,203.72,43.92,9,55,9,1
DON196155,Brian,Clark,brian.clark15@outlook.com,Portland,4,86.08,4.0,223,0.38,146.16,37.52,1,69,3,1
DON867706,Margaret,Harris,margaret.harris13@hotmail.com,Los Angeles,1,104.34,1.0,354,0.07,191.56,66.33,8,94,11,0
DON396769,Paul,Ramirez,paul.ramirez74@yahoo.com,Houston,11,84.26,11.0,78,0.66,142.82,33.16,5,42,8,1
